Reward Code;Probobility;Undo;Automatch;Shuffle;Magnet;Extra Slot;Joker;Cannons;;
E1S1;0,0%;1;0;0;1;0;0;0;;
E1S2;6,0%;2;2;0;0;0;0;0;;
E1S3;6,0%;2;0;2;0;0;0;0;;
E1S4;6,0%;2;1;1;0;0;0;0;;
E1S5;6,0%;2;0;0;1;0;0;0;;
E1S6;7,0%;0;1;0;1;0;0;0;;
E1S7;7,0%;0;0;1;1;0;0;0;;
E1S8;6,0%;0;2;1;0;0;0;0;;
E1S9;6,0%;0;1;2;0;0;0;0;;
E1S10;6,0%;3;2;0;0;0;0;0;;
E1S11;6,0%;3;1;1;0;0;0;0;;
E1S12;6,0%;3;0;2;0;0;0;0;;
E1S13;8,0%;1;2;1;0;0;0;0;;
E1S14;8,0%;1;1;2;0;0;0;0;;
E1S15;8,0%;1;3;0;0;0;0;0;;
E1S16;8,0%;1;0;3;0;0;0;0;;
